episode,reward,time
1,-261.7750558364506,0.11038851737976074
2,-493.9216825698028,0.10332965850830078
3,-546.4300966128865,0.08133935928344727
4,-496.09889724500863,0.08167767524719238
5,-593.2219258515694,0.08388066291809082
6,-85.63856287732446,0.07379293441772461
7,-137.9522089189146,0.13306689262390137
8,-568.7299426708003,0.12823700904846191
9,-321.4943464502957,0.08887100219726562
10,-60.02277518141993,0.08168458938598633
11,-360.29741504970013,0.13074612617492676
12,-406.66885295717043,0.10786056518554688
13,-411.4907242464939,0.08261656761169434
14,-630.3929069742139,0.10618042945861816
15,-93.97149822364767,0.07839083671569824
16,-159.82313495137282,0.07519197463989258
17,-609.8075298292608,0.08962631225585938
18,-192.16581049884817,0.07786130905151367
19,-532.1224150412045,0.12353062629699707
20,-711.9697848034614,0.2940845489501953
21,-511.4989396057004,0.0874333381652832
22,-352.2991102354704,0.09201669692993164
23,-547.8669997091075,0.10306930541992188
24,-38.75419590230582,0.08529782295227051
25,-513.0823143010338,0.0799102783203125
26,-474.51989881474464,0.07886934280395508
27,-354.8859024100028,0.07846760749816895
28,-623.2144128258974,0.09523320198059082
29,-283.6690807018526,0.08385753631591797
30,-432.7611478223186,0.0711219310760498
31,-414.28212254136366,0.06882357597351074
32,-603.6299625624649,0.10094976425170898
33,-574.6316876156898,0.08632135391235352
34,-807.1810577414888,0.1351332664489746
35,-604.6533663705782,0.10204434394836426
36,-299.5855504110457,0.07824039459228516
37,-517.6853460158926,0.10205817222595215
38,-586.8931079560195,0.16439270973205566
39,-525.3245363374153,0.08720636367797852
40,-243.16307595332253,0.276918888092041
41,-536.0028763677749,0.07732439041137695
42,-273.87656211196816,0.11860251426696777
43,-197.5077951805746,0.0932164192199707
44,-614.8474340993841,0.0888371467590332
45,-316.85365694501235,0.11417007446289062
46,-312.8226861605067,0.07962799072265625
47,-252.2470156575539,0.09394431114196777
48,-506.6992261946722,0.20216012001037598
49,-370.7172433494573,0.14213943481445312
50,-464.8109759229445,0.08376646041870117
51,-445.95971897037765,0.0796809196472168
52,-261.9636870573113,0.08322858810424805
53,-513.0292373649698,0.09947752952575684
54,-601.416949818815,0.08675193786621094
55,-103.14639227993453,0.06975030899047852
56,-563.8285968817022,0.141402006149292
57,-308.612607248328,0.14032649993896484
58,-284.5224805137875,0.08165884017944336
59,-439.4172822831212,0.1212012767791748
60,-52.937350054586744,0.24287629127502441
61,-130.0611913780711,0.07507157325744629
62,-374.75146821746404,0.07803034782409668
63,-483.08890950233126,0.08005404472351074
64,-429.5787605269552,0.10259270668029785
