episode,reward,time
1,-1285.5011491259127,0.22747492790222168
2,-1291.059391055939,0.21710634231567383
3,-1126.3088927533968,0.22016453742980957
4,-1192.6218894360854,0.21864914894104004
5,-1189.6270910721273,0.21996808052062988
6,-1183.9077871106247,0.22236967086791992
7,-1135.6389076044384,0.2189621925354004
8,-1074.2101736972807,0.2216508388519287
9,-1036.0058732739208,0.22087645530700684
10,-1020.1333935922895,0.22394585609436035
11,-1415.1947886987439,0.22139549255371094
12,-960.4554040008829,0.2220456600189209
13,-1056.8117365631194,0.22144079208374023
14,-1416.4397756935327,0.22116470336914062
15,-1156.6822046482448,0.21837115287780762
16,-1079.7740865690744,0.21837067604064941
17,-906.1097358777673,0.22392582893371582
18,-1310.5065055864907,0.21448779106140137
19,-1069.977712480713,0.2203836441040039
20,-1056.1363489198166,0.5783023834228516
21,-1113.4050990102608,0.21884489059448242
22,-1241.1879084663613,0.2235569953918457
23,-740.3132875934999,0.21817994117736816
24,-1047.4049557954909,0.22644257545471191
25,-1071.827532304467,0.22910737991333008
26,-1182.4207159132673,0.22233819961547852
27,-1162.2334545178633,0.23258709907531738
28,-869.5208657897142,0.23033738136291504
29,-1346.002757843759,0.22001361846923828
30,-975.0145601978533,0.22625327110290527
31,-892.3528899821733,0.2544870376586914
32,-993.9877161137629,0.21744775772094727
33,-1039.49124844112,0.2235715389251709
34,-1579.4399703889642,0.2170710563659668
35,-1284.8377874928187,0.22170662879943848
36,-1457.0653660495118,0.21654105186462402
37,-1453.6727197162197,0.21757197380065918
38,-1203.0853894987765,0.21883153915405273
39,-1066.5783680712336,0.21787428855895996
40,-991.1355333764446,0.4103813171386719
41,-1266.624360895781,0.22563552856445312
42,-1609.5450481216196,0.21809887886047363
43,-1165.0251538062516,0.2211146354675293
44,-1181.047848805411,0.22012114524841309
45,-1312.590259485547,0.21729636192321777
46,-987.4267147071663,0.21930909156799316
47,-981.3606363781158,0.22142744064331055
48,-978.9605189793477,0.2220005989074707
49,-1326.6687252218942,0.2226717472076416
50,-1461.15970586928,0.21948862075805664
51,-1124.8189701032925,0.21858525276184082
52,-1144.1853630063754,0.22269797325134277
53,-1135.409575245864,0.22172975540161133
54,-1238.7766884929179,0.21945714950561523
55,-973.8736269531836,0.214019775390625
56,-1110.6746602466653,0.21514129638671875
57,-1174.6683767187023,0.22590947151184082
58,-1148.2830177248438,0.21748709678649902
59,-966.3030667114365,0.21336817741394043
60,-1318.821553384514,0.4102470874786377
61,-1362.643370825232,0.21759033203125
62,-1506.1801506141094,0.21743345260620117
63,-1159.8305575941765,0.2200918197631836
64,-1317.3131227534448,0.2166910171508789
65,-1293.8244393443324,0.22026801109313965
66,-1194.850287297921,0.22175216674804688
67,-1306.4799901588244,0.2227480411529541
68,-1396.6597074095462,0.2149035930633545
69,-1178.6786287260957,0.2165358066558838
70,-1096.168564911793,0.22213101387023926
71,-1633.2968213535394,0.21560168266296387
72,-1111.4454506319655,0.21708893775939941
73,-1111.5931618075122,0.2288496494293213
74,-1102.9601758333422,0.25229954719543457
75,-1176.9145696128799,0.23340439796447754
76,-1340.6450795864187,0.2226090431213379
77,-1457.7938543575963,0.2259674072265625
78,-1076.7251545077493,0.22446274757385254
79,-860.8006976780414,0.21846532821655273
80,-1438.8930257021311,0.40758466720581055
81,-1276.1977889258858,0.2245502471923828
82,-1236.7702395550464,0.22412514686584473
83,-1145.440971534339,0.21885323524475098
84,-1183.5174190646203,0.22403311729431152
85,-962.0354662032618,0.22053217887878418
86,-1171.7487795157654,0.21908259391784668
87,-1181.066637342554,0.2207634449005127
88,-1194.9536470817918,0.2241382598876953
89,-1462.333300149632,0.22492408752441406
90,-1182.8347906101278,0.2212049961090088
91,-1210.1839727238723,0.22974491119384766
92,-1103.2719874949219,0.21912741661071777
93,-1175.2088173709908,0.2250823974609375
94,-983.9260483757398,0.22477245330810547
95,-1403.283568406467,0.21867060661315918
96,-1318.5400892050343,0.2217578887939453
97,-1138.2732157760622,0.22033095359802246
98,-1308.0267822655828,0.22567367553710938
99,-1206.830635768749,0.22358465194702148
