episode,reward,time
1,-1500.7558271830947,0.18631982803344727
2,-1446.448456574932,0.19636011123657227
3,-1180.5654354632022,0.1972362995147705
4,-1407.7937069481402,0.19678187370300293
5,-1125.6264511788675,0.1993274688720703
6,-1201.6668341215523,0.19860076904296875
7,-1055.0010664393228,0.20565009117126465
8,-1049.8703068796467,0.19901490211486816
9,-1341.8074909680643,0.20793724060058594
10,-1181.7121674476714,0.22677016258239746
11,-1779.9015606917087,0.21241307258605957
12,-1192.5351487047446,0.19739699363708496
13,-1134.4594980588504,0.1995716094970703
14,-1377.299296619061,0.20210838317871094
15,-1357.278261300407,0.20265603065490723
16,-865.6799338908426,0.20266175270080566
17,-947.9286063542434,0.19953083992004395
18,-1297.5850680469116,0.19870352745056152
19,-1167.3981143112692,0.20245766639709473
20,-1079.3613763494625,0.39169907569885254
21,-1176.417118131138,0.20691180229187012
22,-1390.8856992541673,0.20273494720458984
23,-1167.7377024663804,0.2050187587738037
24,-968.7951407474116,0.19934988021850586
25,-1085.12152950364,0.20434188842773438
26,-1274.6992673930843,0.19874262809753418
27,-932.3657864691849,0.19814395904541016
28,-1055.7186855562902,0.19957923889160156
29,-1452.3488559400864,0.19780373573303223
30,-981.2719764031827,0.20455670356750488
31,-962.263140577654,0.19936561584472656
32,-1055.6239956825943,0.1994776725769043
33,-1148.7890480887493,0.2044236660003662
34,-1407.3929254582679,0.20017194747924805
35,-1040.5517283152546,0.1999976634979248
36,-1245.551454690788,0.19544529914855957
37,-1644.3196109766675,0.19869661331176758
38,-996.0400512685271,0.2011575698852539
39,-1119.4605918456498,0.20055580139160156
40,-1189.1268008459751,0.38639330863952637
41,-1180.1987293981852,0.19965434074401855
42,-1454.470887998101,0.20277905464172363
43,-1112.044462980573,0.20484280586242676
44,-1280.1146571251995,0.20572566986083984
45,-1486.180300218467,0.20050430297851562
46,-1185.4606160756578,0.19848060607910156
47,-1152.4987119292468,0.21607637405395508
48,-980.4173599997845,0.2060084342956543
49,-1444.6671346030546,0.20456218719482422
50,-1440.8489067985925,0.20763087272644043
51,-1063.9484709647072,0.20642709732055664
52,-1289.1809625055678,0.20332074165344238
53,-1064.823771392038,0.207200288772583
