episode,reward,time
1,-1324.7985133515942,0.19310855865478516
2,-1436.5485477917434,0.19488286972045898
3,-1363.470597436104,0.1948399543762207
4,-1364.2954075864723,0.2002565860748291
5,-1421.4459304181796,0.19457268714904785
6,-1217.279629829037,0.204695463180542
7,-1386.1616106273618,0.20024585723876953
8,-1240.479995124356,0.19448161125183105
9,-1220.1420558719178,0.19591379165649414
10,-1408.7330685546613,0.19119906425476074
11,-1356.5056955787898,0.19955992698669434
12,-1360.7005264281393,0.2030794620513916
13,-1450.0106852803813,0.20021677017211914
14,-1318.0587730717896,0.20052719116210938
15,-1383.9559012197114,0.19688916206359863
16,-1377.712933677286,0.19861984252929688
17,-1396.11087085438,0.19687509536743164
18,-1295.9077688673008,0.20106077194213867
19,-1209.9992241668929,0.19825530052185059
20,-1379.2857230396442,0.39587974548339844
21,-1291.8071180218892,0.2069551944732666
22,-1421.9233384823756,0.19395017623901367
23,-1412.3781324686572,0.1983475685119629
24,-1266.2727290671862,0.19526100158691406
25,-1316.408116341662,0.19342947006225586
26,-1355.7402618338695,0.21185731887817383
27,-1359.5225758736792,0.20076346397399902
28,-1396.1772120546545,0.20537757873535156
29,-1271.777122230363,0.19981002807617188
30,-1407.150737839855,0.19550585746765137
31,-1233.7168878898328,0.19762802124023438
32,-1329.8016164304681,0.19331645965576172
33,-1289.5503879540945,0.19979405403137207
34,-1609.8706663359364,0.19708800315856934
35,-1170.3979636539982,0.19496798515319824
36,-1338.556829483727,0.19188261032104492
37,-1344.568454097471,0.19916653633117676
38,-1246.1541253798105,0.23354625701904297
39,-1374.5704916052316,0.19533085823059082
40,-1281.0946217161115,0.3882434368133545
41,-1209.1598089103263,0.20040440559387207
42,-1341.5829797293284,0.2024829387664795
43,-1331.3763504133801,0.1982884407043457
44,-1299.0803620552529,0.1997051239013672
45,-1290.1812062584283,0.19496464729309082
46,-1325.6410159421428,0.1950829029083252
47,-1310.9706582431327,0.20123505592346191
48,-1363.676866540038,0.19317984580993652
49,-1334.0642546041672,0.19793009757995605
50,-1407.3855609439383,0.19879794120788574
51,-1306.2586736641551,0.19842004776000977
52,-1304.6455690770279,0.19918131828308105
53,-1407.3853972890458,0.1978919506072998
54,-1295.037914929397,0.19866585731506348
55,-1422.2216973223274,0.19932961463928223
56,-1416.0424821070023,0.1999959945678711
57,-1351.4410556201876,0.19519567489624023
58,-1373.6509577715296,0.1977221965789795
59,-1429.8160687621544,0.1980443000793457
60,-1375.4904216561822,0.38309574127197266
61,-1388.780403657038,0.19981932640075684
62,-1657.7075663921885,0.1985156536102295
63,-1479.4005937928227,0.19348645210266113
64,-1323.5394985778373,0.19733905792236328
65,-1228.172392746742,0.19662117958068848
66,-1362.6515019241476,0.19959735870361328
67,-1249.4318868352439,0.19511151313781738
68,-1472.1844819969126,0.19878816604614258
69,-1374.3751825291545,0.19786691665649414
70,-1354.130525729632,0.1966404914855957
71,-1366.9119147141528,0.19730329513549805
72,-1411.0482620767104,0.19565486907958984
73,-1407.0976540842016,0.19746041297912598
74,-1383.1915784356033,0.19733691215515137
75,-1306.8795023619277,0.1976466178894043
76,-1415.4267897255638,0.1975116729736328
77,-1331.29562106722,0.19430899620056152
78,-1384.5329581115084,0.20110702514648438
79,-1350.2471611000906,0.1934654712677002
80,-1280.6784385891806,0.3890678882598877
81,-1349.5049209850379,0.19835376739501953
82,-1240.4099819375929,0.20107769966125488
83,-1308.2468789333266,0.19663786888122559
84,-1361.3576393406126,0.20973968505859375
85,-1322.6032497852411,0.23356318473815918
86,-1352.2172891416594,0.19922947883605957
87,-1432.733275454867,0.19407010078430176
88,-1380.2855796808303,0.19353508949279785
89,-1283.5007360792945,0.19353175163269043
90,-1385.0622067594638,0.20041942596435547
91,-1216.9612894513782,0.1944127082824707
92,-1450.663427669325,0.1958484649658203
93,-1469.0718537525006,0.19565153121948242
94,-1355.8187122930512,0.19989490509033203
95,-1299.4526005322102,0.19904279708862305
96,-1392.2997668667317,0.1968064308166504
97,-1351.27388143218,0.19324636459350586
98,-1353.1315539975653,0.20134902000427246
99,-1333.368027136386,0.19574499130249023
100,-1455.188738913266,0.385235071182251
101,-1395.6753754163258,0.19488739967346191
102,-1617.3062589674585,0.19972991943359375
103,-1331.0084840885115,0.20106124877929688
104,-1173.0585287495182,0.1977386474609375
105,-1200.7219718072292,0.19969677925109863
106,-1174.7207787100074,0.19636821746826172
107,-1365.7964746365185,0.19696831703186035
108,-1322.6075444461992,0.19949960708618164
109,-1291.6515245308703,0.19913554191589355
110,-1400.5894667124348,0.19945096969604492
111,-1210.130374730637,0.19679903984069824
112,-1321.4935506269765,0.19779562950134277
113,-1741.971567691982,0.19698476791381836
114,-1206.132846311321,0.19327664375305176
115,-1267.6719687273667,0.20055866241455078
116,-1381.8346523236046,0.20165038108825684
117,-1232.8731989021767,0.193983793258667
118,-1378.4505642943943,0.1952989101409912
119,-1433.9801108258685,0.19699692726135254
120,-1319.429321818949,0.39198756217956543
121,-1344.500818579244,0.197737455368042
122,-1215.1653261297984,0.20264363288879395
123,-1238.6226299862708,0.19965267181396484
124,-1399.6212451935542,0.2005305290222168
125,-1215.5027381513112,0.21007823944091797
126,-1393.1521858696506,0.1979513168334961
127,-1309.1477334069216,0.19419145584106445
128,-1361.9774360719402,0.19581174850463867
129,-1329.5611337249625,0.19732165336608887
130,-1149.1387233230662,0.19373273849487305
131,-1379.2469875889944,0.19234371185302734
132,-1297.0940157124705,0.20601177215576172
133,-1350.5661268759636,0.24469757080078125
134,-1267.1133371977205,0.20125555992126465
135,-1284.890490839004,0.1990518569946289
136,-1483.1470532066019,0.1943221092224121
137,-1184.4299675006957,0.1980433464050293
138,-1225.158639105048,0.195387601852417
139,-1202.4534091933695,0.19767475128173828
140,-1831.101885074437,0.4018745422363281
141,-1360.3044781056597,0.19336843490600586
142,-1215.6563306449618,0.19359946250915527
143,-1424.6448629888184,0.19298696517944336
144,-1201.4350303518572,0.19385981559753418
145,-1333.8212644874968,0.2107226848602295
146,-1285.6763742324356,0.2132551670074463
147,-1254.8359375676405,0.21538019180297852
148,-1408.0486805951728,0.2087101936340332
149,-1175.6954775337215,0.2111494541168213
150,-1343.4616839027667,0.20690345764160156
151,-1256.0100227365076,0.20567655563354492
152,-1316.8587025435772,0.2177433967590332
153,-1397.117789426064,0.21033716201782227
154,-1281.4281668721542,0.20764589309692383
155,-1383.870560989116,0.20056676864624023
156,-1274.1659508250052,0.19417977333068848
157,-1406.6375509255447,0.19960951805114746
158,-1370.4464159865056,0.19452905654907227
159,-1192.3577840749572,0.19846343994140625
160,-1349.1485335835732,0.40494775772094727
161,-1383.5260082899597,0.20012140274047852
